GMDN,Short Desp,Long Desp
46429,"Medical device electrical cable, reprocessed","A noninvasive, insulated, electrical cord designed to enable an electrical connection between a pair of medical devices (e.g., to connect an electrical catheter to a parent device); it does not contact the patient directly nor does it connect directly to patient-worn electrodes (i.e., it is not a lead). It transmits power and/or signal (data) and includes a connector (plug) at both ends; it does not generate power/signal and is not intended to be used as a mains power cable. It is manufactured to medical grade standards for use in healthcare facilities or the home. This is a single-use device previously used that has been reprocessed for an additional single-use patient application. See also: Mechanical atherectomy system catheter, coronary; Cardiac mapping system; Cardiac mapping catheter, percutaneous, single-use; Cardiac mapping catheter, percutaneous, reprocessed"
46430,"Electrical catheter connection cable, single-use","An insulated electrical conductor designed to provide an electrical connection between an electrical catheter (e.g., an electrophysiological diagnostic catheter or ablation catheter) and an electrically-powered parent device (e.g., generator, analyser). Its length may also allow the catheter to remain in the sterile field. This is a single-use device."
46453,External orthopaedic fixation system reprocessed component,"A component of an external fixation system intended to be used to stabilize a fractured bone/joint. It may be a specially designed frame, clamp, rod, pin, rod-to-rod coupling, rod-to-pin coupling, post, fastener, wire, bolt, washer, nut, hinge, ring, socket, bar, screw, or other device. This is a single-use device that has previously been used on a patient and has been subjected to additional processing and manufacturing for an additional single-use patient application. See also: External orthopaedic fixation system, reusable"
46476,"Oscillating surgical saw blade, single-use","A sterile, flat surgical cutting instrument, usually made of high-grade stainless steel, with a serrated edge and designed for attachment to a dedicated powered saw used for cutting bone/tissue during orthopaedic or oral surgery. This device is designed with cutting teeth arranged in an arc or on a flat plane at its distal end; the teeth are at a 90° angle to its shaft. It cuts when it is moved in a rapid oscillating motion. This device enables side-cutting action to be performed within a restricted-access area. This is a single-use device."
46479,"Surgical implant template, reusable","A device designed to determine the appropriate size and placement of an implant for a patient prior to or during surgery. It is typically available as a graduated set or an individual plate (e.g., a translucent plastic sheet or a cut metal shape) with patterns/sizes corresponding to the size of the implant to be used to aid the surgeon in final selection of implant size, placement, and/or adaption. It is used for, e.g., total- or partial-joint prostheses, bone fracture fixation implants (plates, nails, including skull plate implants) or other types of surgical implants. This is a reusable device."
46505,"Surgical instrument guard, single-use","A sterile device designed to be applied to a variety of surgical or invasive instruments to protect the instrument and/or its operator and/or the patient from injury, distortion, or damage during an invasive diagnostic or interventional procedure. It is typically made of stainless steel or plastic materials. This is a single-use device."
46524,Surgical traction skull tongs,"An instrument used during orthopaedic surgery to perform traction on the cervical spine by applying an upward force to the skull that causes hyperextension of the head and neck. It is typically a two-arm pivoted instrument that is attached to the skull using pins (either partially implanted or not); the proximal end includes a mechanism (e.g., an adjustable threaded bolt and nut) responsible for the application of the traction force. This device is typically used during procedures to treat a fractured spine. This is a single-use device."
46536,Orthodontic anchoring screw,"A small metallic rod with a spiral thread and slotted/formed head that is inserted into the bone of the jaw to serve as a temporary anchor for an orthodontic device (e.g., a spring or plate). It is available in various sizes and lengths, and may have a self-drilling/self-tapping thread for easy insertion and removal after desired alignment of the teeth. It is used in a variety of orthodontic treatment situations, especially when normal anatomy has been compromised (e.g., due to periodontal disease or agenesis, displacement of teeth in the same direction, asymmetrical anatomy). This is a single-use device."
46580,"Multi-purpose surgical mesh, metallic","A sterile flat woven/knitted material made of a biocompatible metal (e.g., surgical stainless steel, tantalum) with appropriate mechanical characteristics for implantation. This non-dedicated device is used alone or in combination with synthetic materials (e.g., polymers) to support or protect tissues in reconstructive surgical procedures (e.g., to repair large chest wall defects or large abdominal incisional hernias) and/or orthopaedic procedures (e.g., cranioplasty, femoral reconstruction). Disposable devices associated with implantation (e.g., introducer needles, trocars) may be included."
46583,Tissue expander injection port locator,"A small, hand-held, manually-operated, sterile device designed to assist with the location of the subcutaneous injection port of an implanted tissue expander prior to the insertion of a filling needle into the port in order to fill the tissue expander with, e.g., saline. It is moved over the surface of the skin at the point where the concealed injection site is situated and an indicator, e.g., a small magnet, reacts to the metal material of the port, indicating where it is located. Repetition of this locating process on several axes provides the exact location of the injection site. This is a single-use device. See also: Tissue expander; Tissue expander injection port"
46585,Tibial insert,"An implantable device designed to articulate the femoral and tibial components of a knee joint prosthesis during primary or revision bicondylar knee joint replacement. It is typically a one-piece contoured polyethylene (PE) insert, or a more complex device (e.g., a guide arm with a stem that is inserted into the tibial tray and a polymer glide) which will better reproduce the flexion of the knee joint due to its capacity for lateral rotation and anterior/posterior movement. This device is typically made of metal and/or a polymer."
46633,"Catheter-balloon inflator, reprocessed","A sterile device designed to manually inflate and regulate the pressure of a balloon catheter (e.g., by injecting and aspirating fluid or air within the balloon), and to deflate the balloon during a medical procedure. It typically consists of a dedicated syringe/plunger, a pressure gauge for monitoring the pressure, a locking mechanism, and a connecting tube. It is typically used during angiography, angioplasty, gastrointestinal (GI), or sinuplasty procedures. This is a single-use device that has previously been used on a patient and has been subjected to additional processing and manufacturing for an additional single-use patient application."
46638,"Craniofacial bone screw, non-bioabsorbable, sterile","A small, sterile, threaded rod with a slotted head intended to be implanted or inserted short-term in craniofacial bone (including the maxilla and/or mandible) for fracture fixation by direct interfragmentary stabilization of bone or by screwing plates in place; it may also be intended for transplanted bone fixation. It may be self-drilling/self-tapping and is made of a material that is not chemically degraded or absorbed via natural body processes [e.g., implant grade metal such as titanium (Ti)]. Its uses include repair of orbital fractures and fractures around the cranial sinuses, paediatric reconstructive surgery, craniotomy flap fixation, bone augmentation procedures."
46639,"Craniofacial bone tack, bioabsorbable","A small, sterile, bioabsorbable, cylindrical shaft, typically with a flat, rounded head at one end and tapered to a point at the other, intended to be implanted into craniofacial bone (includes maxilla and/or mandible) to provide stabilization for fracture repair and reconstructive procedures, or to maintain the relative position of bony fragments, bone grafts, or bone graft substitutes. It is made of a material that is chemically degraded and typically absorbed via natural body processes (e.g., a degradable polymer), and may be designed to be heated during implantation, with a dedicated inserter, to facilitate its moulding and optimal insertion."
46641,"Craniofacial fixation plate, bioabsorbable","A small, implantable sheet of firm material that is attached with screws to fractured craniofacial bone (including the maxilla and/or mandible), to bridge and stabilize the fracture gap, and shield the site from stress as the bone heals; the material is chemically degraded and typically absorbed by natural body processes (e.g., a degradable polymer). The device may also be used for craniofacial reconstructive procedures (e.g., to treat congenital malformations), endobrow fixation, or craniotomy flap fixation."
46642,"Craniofacial fixation plate, non-bioabsorbable","A small, implantable sheet of firm material that is attached with screws to fractured craniofacial bone (including the maxilla and/or mandible), to bridge and stabilize the fracture gap, and shield the site from stress as the bone heals; the material cannot be chemically degraded or absorbed by natural body processes [includes implant grade metal such as surgical steel, titanium alloy, or carbon fibre]. The device may also be used for craniofacial reconstructive procedures (e.g., to treat congenital malformations), endobrow fixation, or craniotomy flap fixation."
46644,"Craniofacial fixation plate kit, non-bioabsorbable","A collection of small sheets of firm material and bone screws, of various shapes/sizes, that are implanted onto fractured craniofacial bone (including the maxilla and/or mandible) to bridge and stabilize the fracture gap, and shield the site from stress as the bone heals; the components are made of a material that is not chemically degraded or absorbed by natural body processes (includes implant grade metal such as surgical steel, titanium alloy, or carbon fibre). Tools for implantation may be included. The device may also be used for craniofacial reconstructive procedures (e.g., to treat congenital malformations), endobrow fixation, or craniotomy flap fixation."
46646,"Orthopaedic bone screw, non-bioabsorbable, sterile","A small, sterile, threaded rod with a slotted head typically used for internal orthopaedic fracture fixation by being screwed into bone to hold plates or nails to bone or to provide direct interfragmentary stabilization of bone, or it may fasten soft tissue to bone; it is made of a material that cannot be chemically degraded or absorbed via natural body processes (includes implant grade metal such as surgical steel, titanium alloy, or carbon fibre). There are a number of kinds available: cortical, cancellous, malleolar, scaphoid, partially-threaded and fully-threaded, self-tapping, and cannulated. A ""lag screw"" can be any of these used to obtain compression across bone fragments. See also: Orthopaedic bone screw starter/notcher; Orthopaedic bone screw, bioabsorbable; Orthopaedic fixation plate, non-bioabsorbable, sterile; Orthopaedic fixation plate kit, non-bioabsorbable, sterile; Cranioplasty plate screw; Spiral blade"
46647,"Orthopaedic fixation plate, non-bioabsorbable, sterile","A sterile implantable sheet of firm material intended to be attached to fractured long bone fragments with screws to bridge and stabilize the fracture gap, and shield the site from stress as the bone heals; the material is not chemically degraded or absorbed by natural body processes (includes implant grade metal such as surgical steel, titanium alloy, or carbon fibre). The device is typically used to treat traumatic or pathological orthopaedic fractures; it may also be used to temporarily augment bone following a lengthening procedure, or for arthrodesis (joint fusion)."
46649,"Orthopaedic fixation plate kit, non-bioabsorbable, sterile","A sterile collection of small sheets of firm material and bone screws intended to be implanted onto fractured bone fragments to bridge and stabilize the fracture gap, and shield the site from stress as the bone heals; the components are made of a material that is not chemically degraded or absorbed by natural body processes (includes implant grade metal such as surgical steel, titanium alloy, or carbon fibre). Tools for implantation may be included. The device is typically used to treat traumatic or pathological orthopaedic fractures; it may also be used to temporarily augment bone following a lengthening procedure, or for arthrodesis (joint fusion)."
46651,"Spinal bone screw, non-bioabsorbable","A small, sterile, threaded rod with a slotted head used for internal spinal fixation by being screwed into the spine to hold plates, or other stabilization device, to bone; it is made of a material that is not chemically degraded or absorbed via natural body processes (includes implant grade metal such as surgical steel, titanium alloy, or carbon fibre). The device is typically used to provide immobilization and stabilization of spinal segments in the treatment of various spinal instabilities or deformities."
46653,"Spinal fixation plate, non-bioabsorbable","A small implantable sheet of solid material that is attached to the spine with screws for spinal immobilization and is made of a material that is not chemically degraded or absorbed via natural body processes (includes implant grade metal such as surgical steel, titanium alloy, or carbon fibre). The device is typically used to provide immobilization and stabilization of spinal segments in the treatment of various spinal instabilities or deformities (e.g., during anterior/posterior cervical, anterior/posterior lumbar, thoracolumbar, and occipital fixation procedures)."
46676,Tissue injection cannula,"A thin, sterile, semi-rigid or rigid metal tube intended to be inserted percutaneously for the injection of a substance into the cutaneous or subcutaneous layers. It is typically used for the administration of fillers [e.g., hyaluronic acid (HA)] to add volume to tissue for cosmetic or reconstructive purposes. The device is typically designed with a closed-off nose and a lateral hole at the distal tip, and a connector at the proximal end for attachment to a device that propels the injection substance. It is typically made of high-grade stainless steel. This is a single-use device."
46679,"Endomyocardial biopsy forceps, single-use","A sterile grasping instrument designed to obtain tissue samples from the inner walls of the heart (endomyocardium) typically for histopathological examination. It is typically a flexible metal coil or plastic tube with a pair of scissors-like cups with cutting edges around their rims at the distal end which are operated by a handle attached at the proximal end. It is usually introduced percutaneously through the jugular vein or femoral artery (during catheterization). Acquired tissue samples are typically used for assessment of early rejection of a transplanted heart, cardiomyopathy and myocarditis diagnosis, or detection of antracycline cardiotoxicity. This is a single-use device."
46719,Blunt-microdissection atherectomy catheter,"A manually-powered instrument intended to be used to create a pathway through an occluded blood vessel to facilitate the intraluminal placement of a conventional guidewire beyond a stenotic lesion [especially a chronic total occlusion (CTO) of a coronary artery], prior to further percutaneous intervention to remove the lesion. It typically consists of a long, thin, flexible segment, introduced into the vasculature, that is equipped to mechanically disrupt the lesion (e.g., by blunt microdissection) through manipulation of hand controls at the proximal end. This is a single-use device."
46721,"Vacuum tubing, single-use","A sterile length of flexible tube intended to be used as a connection line between a vacuum source and a medical device, medical equipment, or a medical system that is dependent upon suction to operate or function. It is typically made of malleable synthetic polymer material(s) (e.g., plastic, silicone) and is designed with a thick wall to prevent collapse due to the negative pressure of the vacuum; it is available in a variety of lengths, including standard coil lengths. This device is used when sterile conditions are required (e.g., for an autologous blood transfusion system). This is a single-use device."
46737,"Haemorrhoidal surgical stapler, single-use","A sterile, surgical instrument designed to apply surgical staples to tissue in the anal canal to treat haemorrhoids, particularly the procedure for prolapse and haemorrhoids (PPH) [repositioning of the anal canal mucosa to reduce blood flow to internal haemorrhoids]. It is typically pistol-like in design with a rounded, cylindrical head loaded with staples at the distal end, and operating levers at the proximal end intended to deliver a single- or multiple-circular band(s) of staples, whilst cutting away hemorrhoidal tissue. It may include disposable supportive devices intended to assist the procedure (e.g., rectal dilator, anoscope). This is a single-use device."
46750,Vertebral bone biopsy procedure kit,"A collection of sterile devices, equipment, and supplies used to obtain a bone specimen from the vertebrae of a patient (the bony segments of the spinal column) for histological analysis. It typically contains a metal cannula which can have various tip designs (e.g., bevelled, pyramidal, scoop-, or diamond-shaped) and stylet(s), a biopsy needle, an obturator, a needle holder, syringes, and connecting tube. The specimen can be used for the detection of cancer, infection, or other bone disorders. The device may also be used for vertebral infusion (e.g., injection of bone cement). This is a single-use device."
46751,Bone holding forceps,"A surgical instrument used for grasping and holding a bone during a surgical procedure. It is typically strongly constructed with a scissors-like design, which may or may not be self-retaining, with ring handles or curved shank handles. It is made of high-grade stainless steel and is available in various sizes. The working end can have a wide variety of jaws designs, e.g., curved serrated jaws, straight toothed jaws, or profiled wrench-like jaws with grooves to provide extra grip of the bone. This is a reusable device."
46768,Nerve/vessel hook,"A hand-held, surgical instrument used for hooking around a nerve or a blood vessel in order to separate it from the surrounding tissue during a surgical intervention. It is a shaft-like instrument with a blunt bulbous or rounded tip (a hook) at the distal end and a handle at the proximal end. The hook is available in a variety of designs such as, curved, right-angled, or 45 degree angled. It is made of high-grade stainless steel. This is a reusable device."
46773,Fibreoptic retractor handle,"A hand-held, surgical instrument that enables manipulation of an attached retractor blade, and that has an integrated fibreoptic bundle for illuminating deep surgical sites often encountered during gastroenterological, urological, or gynaecological procedures. The interchangeable retractor blade is slotted/fixed onto this instrument, which when assembled, is sometimes referred to as a variable or vario retractor because of the ability to change blade lengths and sizes. It is made of high-grade stainless steel and the fibreoptic bundle is attached to a separate light source, typically via a light-source cable, to produce illumination. This is a reusable device."
46774,Retractor blade,"A component of a surgical retraction system or surgical retractor designed to function as a parting edge to separate the margins of a wound/incision during an open surgical procedure. It is intended to be attached to the frame (e.g., mounting ring/bar) of a surgical retraction system, or may be fixed onto a retractor handle; it does not include a handle. It is sometimes referred to as a variable or vario retractor blade when assembled with a separate retractor handle because it is available in a variety of lengths and sizes. It is made of high-grade stainless steel. This is a reusable device."
46800,"Subcutaneous tunneller, reusable","A hand-held manual surgical instrument designed to create a subcutaneous tunnel (artificial passageway) between percutaneous entry and exit incisions for the subcutaneous placement of a device (e.g., catheter for medication administration, shunt, retinal chip). It is available in a variety of forms and may be: 1) a luminal sheath with a removable inner obturator, intended for co-axial device introduction, followed by sheath removal; or 2) a non-luminal device intended to either lead or pull the device through subcutaneous tissue. It is not intended for tunnelling through deep tissues. This is a reusable device intended to be sterilized prior to use."
46801,"Subcutaneous catheter tunneller, single-use","A sterile hand-held manual surgical instrument designed to create a subcutaneous tunnel (artificial passageway) between percutaneous entry and exit incisions for the subcutaneous placement of a catheter (e.g., for medication administration) or shunt. It is available in a variety of forms and may be: 1) a luminal sheath with a removable inner obturator, intended for co-axial catheter introduction, followed by sheath removal; or 2) a non-luminal device intended to either lead or pull the catheter through subcutaneous tissue. It is not intended for tunnelling through deep tissues. This is a single-use device. "
46859,"Lift thread, bioabsorbable","A sterile filament made of a bioabsorbable material [e.g., poly-L-lactide (PLLA), poly(lactic-co-glycolic acid) (PLGA)] with projections (e.g., barbs or cones) along its length intended to be surgically implanted typically during a cosmetic surgical procedure for alternative lifting (e.g., face, neck, breast). The device is inserted through dermis and tacked to deep fascia where the projections produce tension for elevation of the subdermis. It is available in a variety of lengths and may be supplied with a needle(s)."
46860,"Lift thread, partially-bioabsorbable","A sterile filament made of a non-bioabsorbable material (e.g., polypropylene) with bioabsorbable projections (e.g., cones) attached along its length intended to be surgically implanted typically during a cosmetic surgical procedure for alternative lifting (e.g., face, neck, breast). The device is inserted through dermis and tacked to deep fascia where the projections produce tension for elevation of the subdermis. It is available in a variety of lengths and may be supplied with a needle(s)."
46880,"Wound closure set, topical","A collection of sterile devices used to topically close easily-approximated skin edges of wounds. It typically includes a pressure-sensitive adhesive tape or mesh and a liquid adhesive, each contained within a dispensing applicator. The tape/mesh is first applied to temporarily approximate the skin edges followed by application of the liquid adhesive, over the tape/mesh, which polymerizes to affect wound closure. This set may be used to treat surgical incisions, simple lacerations, and may also be used in conjunction with deep dermal stitches. This is a single-use device."
46899, Abdominal trocar,"A rigid, surgical instrument with a sharp pyramidal or conical point designed for percutaneous puncture of the abdominal wall to provide access to the abdominal cavity. It is usually assembled and used together with a compatible cannula or catheter to fill their lumen and provide them with a sharp point, thereby facilitating the introduction of this assembly. The trocar is withdrawn after puncturing, providing a working channel to the abdominal cavity. It is typically available for use with a cannula, catheter, and/or tube to perform a procedure such as the percutaneous drainage of ascites. This is a reusable device. See also: Endotherapy trocar, reusable; Laparoscopic trocar; Gallbladder trocar; Suprapubic trocar; Endotherapy trocar, single-use; Endotherapy trocar, reprocessed"
46924,Physiologic-monitoring sedation system,"An assembly of devices designed to monitor patient physiology while delivering a sedative agent intravenously during a diagnostic or surgical procedure (e.g., endoscopy, minor plastic surgery, cardiovascular procedure). It is a computer-assisted personalized sedation (CAPS) system that typically consists of physiologic/responsiveness monitors [e.g., for blood pressure, oxygen (O2) saturation, capnometry], an infusion pump, an O2 delivery module, alarms, controls, and a computer with software that integrates the components to react to the patient's physiology for precisely controlled sedation. It may contain batteries to facilitate use during transport (e.g., from bedside to procedure room)."
46930,"Bone wax, natural","An implantable device in the form of a sterile wax-like, putty-like, or paste material designed to stop bone bleeding by the creation of a physical barrier along the edges of bone that has been damaged by trauma or cut during a surgical procedure. When placed on the bone under moderate pressure it plugs the vascular openings in the bone and prevents further bleeding. It is made from natural purified beeswax (a yellowish or dark-brown wax secreted by honeybees for constructing honeycombs). "
46945,Ortho-phthalaldehyde (OPA) device disinfectant test strip,"A sliver of absorbent material impregnated with chemical indicators and dyes intended to be used to rapidly indicate, through colour change, the concentration of ortho-phthalaldehyde (OPA) in a device disinfectant solution after preparation to ensure disinfectant properties. It is used to prevent diluting the disinfectant to a concentration that is lower than the manufacturer's recommended minimum effective concentration (MEC). This is a single-use device."
46950,Scalp clip forceps,"A hand-held, manually-operated, surgical instrument used to manually apply and remove haemostatic scalp clips (reusable or single-use) from the scalp during or after a surgical intervention on the cranium/scalp. It is typically a scissors-like device with ring handles, and may or may not be self-retaining. The working end of the device will typically have dedicated grasping blades that are profiled/designed to accommodate a compatible scalp clip. The device is available in various sizes and is typically made of high-grade stainless steel. This is a reusable device."
46952,"Scalp clip applier, single-use","A hand-held, manually-operated, surgical instrument used for the application (the attachment) of nonimplantable, single-use scalp clips to the margins of a scalp wound/incision during a surgical intervention on the cranium/scalp. Often referred to as a clip gun, it has a pistol-like design and holds an exchangeable, preloaded cassette of scalp clips that are fired into the scalp tissue, with the pull of a trigger, to approximate the margins of the wound/incision until it heals. This is a single-use device."
47018,"Suture clasp, bioabsorbable","A small, sterile, implantable fastening device intended to be used to secure the ends of a suture as an alternative to tying a knot, for approximation of soft tissue and/or prosthetic materials during a surgical procedure. The device is typically made of a polymer (e.g., polydioxanone) that is gradually degraded and digested by body tissues; it is typically implanted with a dedicated applicator."
47021,Inflatable bone tamp,"A catheter-like device with an inflatable balloon at the distal end used for the reduction of fractures and/or creation of a void in cancellous bone [e.g., in the spine for a vertebral compression fracture (VCF), hand, tibia, radius, and calcaneus]. It is commonly used for kyphoplasty, which involves its insertion into a patient's back to reduce a vertebral body fracture by compression of cancellous bone and/or movement of the endplates as the balloon is inflated. After the device is removed, orthopaedic bone cement is introduced into the created void to stabilize the vertebra. This is a single-use device."
47022,Spinal curette,"A hand-held, sterile surgical instrument used to scrape and score the cancellous vertebral bone of the spine, typically during a percutanous, minimally-invasive procedure. It consists of a long, thin, metal shaft that terminates distally in a mushroom-like cutting head that can be set at alternative angles (up to ninety degrees). The device enables a smooth scoring action for the creation of grooves or channels, and is typically used as an adjunct device in the treatment of vertebral compression fractures (VCFs) during kyphoplasty. This is a single-use device."
47056,Glutaraldehyde device disinfectant/sterilant test strip,"A sliver of absorbent material impregnated with chemical indicators and dyes intended to be used to rapidly indicate, through colour change, the concentration of glutaraldehyde in a device disinfectant and/or sterilant solution after preparation to ensure disinfectant/sterilant properties. It is used to prevent diluting the disinfectant/sterilant to a concentration that is lower than the manufacturer's recommended minimum effective concentration (MEC). This is a single-use device."
47065,Gastric band access port kit,"A collection of sterile devices designed to establish a replacement access port for an implanted gastric band of the adjustable type that is invasively inflated. It typically includes access port needles, an access port, an end plug, a connector, and tubing to connect the new port to the existing gastric band. It is typically used when the original port must be removed due to leaks, infection, or contamination. This is a single-use device"
47079,Spinal infusion/drainage catheter,"A sterile flexible tube intended for short-term percutaneous access to the subarachnoid (intrathecal) or epidural space of the lumbar spinal column for infusion of materials (typically anaesthetic or analgesic substances during surgery, labour, or delivery), and/or drainage of cerebrospinal fluid (CSF) and/or other fluids. Devices intended to assist catheter insertion (e.g., Tuohy needle, suture) may be included. This is a single-use device."
47138,Ligament reconstruction instrument set,"A collection of surgical instruments intended to be used to prepare a joint for the reconstruction of damaged or torn ligaments, using a replacement device or tissue graft, during open or arthroscopic orthopaedic surgery. It typically consists of one or more guides, carriages, drills, reamers, burs, pushers, introducers, a staple impactor, and a surgical hammer. The set may be designed for specific joints, such as the shoulder or knee, and may assist in aligning the bone tunnels to allow isometric implantation of the ligament replacement device or graft. This is a reusable device."
47143,"Electrical-only medical device connection cable, single-use","A non-patient-contact, insulated, electrical cord with a connector (plug) at both ends designed to transmit electrical power and/or signal (data) between medical devices (e.g., to connect a lead, electrical catheter, handpiece, or monitor to a parent device). It is not intended to connect directly to patient-worn electrodes (i.e., it is not a lead), is not intended to connect to the mains (i.e., not a mains power cable), does not generate any type of power and/or signal, and has no additional non-electrical conducting or processing functionality. This is a single-use device."
47186,Haematological concentrate system applicator,"A sterile, manually-operated device designed to administer, in a liquid or spray form, a haematological concentrate or other blood products (e.g., platelet concentrate, bone marrow aspirate concentrate, thrombin) to a surgical wound or graft to facilitate haemostasis and healing. The device may have one channel to administer one product, or two channels to co-administer two different products simultaneously in a precise ratio. This is a single-use device"
47192,"Surgical staple remover, single-use","A sterile surgical instrument that is used to remove skin staples after the healing process has progressed sufficiently to permit the borders of the wound or incision to remain together without assistance. It is a tweezers-like device made of high-grade stainless steel with blades at the distal end activated by lever action designed for grasping, opening, and removing surgical staples. This is a single-use device"
47193,Poly(L-lactide-co-caprolactone) suture,"A sterile, single-strand (monofilament), synthetic, bioabsorbable thread made from poly(L-lactide-co-caprolactone) intended to join (approximate) the edges of a soft-tissue wound or incision by stitching, or to ligate soft tissues; it may include an attached needle intended to be disposed of after single use. The thread provides temporary wound support until the wound sufficiently heals to withstand normal stress, and is subsequently absorbed by hydrolysis. This is a single-use device."
47247,Transseptal access system,"An assembly of devices used to puncture the interatrial septum during a transseptal catheterization procedure and to create a conduit for the introduction of various cardiovascular catheters into the left side of the heart. It typically includes a guidewire to facilitate the advancement of the assembled device, a sheath as the conduit, a dilator with a curved distal portion to accommodate positioning against the atrial septum, a luminal needle to create the puncture (e.g., for fluid aspiration and injection/infusion, blood sampling, pressure monitoring), and a stylet to support the needle during handling. This is a single-use device."
47342,Laparoscopic irrigation/aspiration cannula,"A rigid, sterile, hand-operated, tube-like device intended to be inserted through a laparoscopic port to provide a conduit for the instillation and/or aspiration of fluid during laparoscopy. It has a single lumen, a proximal handle, and is typically made of plastic materials. It is connected via tubing to an appropriate irrigating/aspirating device(s), the irrigation/aspiration being regulated by the operator with mechanical valve controls typically in the handle of the cannula. This is a single-use device."
47362,"Polydioxanone suture, antimicrobial","A sterile, single-strand (monofilament), synthetic, bioabsorbable thread made of polydioxanone (PDS) [made from polyester poly (p-dioxanone) and of low tissue reactivity] and containing an agent to locally inhibit bacterial growth, intended to join (approximate) the edges of a soft-tissue wound or incision by stitching and is typically supplied with a needle attached intended to be disposed of after single use. The thread provides temporary wound support, until the wound sufficiently heals to withstand normal stress, and is subsequently absorbed by hydrolysis. This is a single-use device."
47415,Laparoscopic blunt dissector,"A sterile, rigid, manual instrument designed to facilitate blunt dissection between tissue planes during laparoscopic procedures, and may additionally be used during open surgical interventions of the abdomen. It is typically made of high-grade stainless steel and plastic materials, and usually consists of a long, thin shaft with a handle and activation lever proximally, and distally a steerable, flexible blunt tip used to mechanically disrupt tissues. Using the lever, the operator can articulate and lock the tip at an angle. It may also be used to snare and pull a pre-tied suture or interface with other similarly shaped articles (e.g., gastric band tubing). This is a single-use device"
47431,Abdominal radial retractor,"A sterile device that is inserted into an abdominal incision to separate the margins of the incision to create a conduit to the underlying organs/tissues for examination/intervention during hand-assisted minimally-invasive and open surgery. It consists of an external and internal ring interconnected with a fixed-length, shaped sheath (a tube) of an elastomeric material that also provides protection against wound contamination. Also known as a lap disc hand access device or a handport, it is available in a variety of sizes and may be used with or without a seal cap for colorectal, urological, gynaecological, and general surgical procedures. This is a single-use device. "
47432,Abdominal radial retractor seal cap,"A device used with an abdominal radial retractor to provide an adjustable membrane that functions as an iris valve seal and access port. It is secured to the retaining latches of the external ring of the inserted retractor and the operator can open/close the port by turning the upper seal ring; this action revolves the thin membrane like the iris shutter of a camera. It is used to facilitate the entry of the surgeon's hand into the abdominal cavity, the extraction of large specimens, and as an instrument port, while helping to maintain pneumoperitoneum. This device is used in colorectal, urological, gynaecological, and general surgical procedures. This is a single-use device"
47457,Orthopaedic trocar,"A rigid hand-held surgical instrument with a sharp pyramidal or rounded conical point used to manually puncture a bodily entry point to assist in the location and positioning of skeletal fractures and/or, upon entry, gently part the surrounding soft tissue. It is typically made of high-grade stainless steel, titanium (Ti) or synthetic material and is usually used with a compatible sleeve (drill guide) allowing the introduction of this assembly (e.g., for positioning/drilling of tibial nail locking screws), or it may be attached to a handle to facilitate its manipulation (e.g., during subcondylar fracture repair). This is a reusable device."
47487,"Medical device electrical cable, reusable","A noninvasive, insulated, electrical cord designed to enable an electrical connection between a pair of medical devices (e.g., to connect a lead, electrical catheter, handpiece, or monitor to a parent device); it does not contact the patient directly nor does it connect directly to patient-worn electrodes (i.e., it is not a lead). It transmits power and/or signal (data) and includes a connector (plug) at both ends, typically with different connection configurations; it does not generate any type of power and/or signal and is not intended to be used as a mains power cable. It is manufactured to medical grade standards for use in healthcare facilities and the home. This is a reusable device"
47493,Vertical expandable prosthetic rib system,"An assembly of implantable devices designed to treat a patient with complex chest wall and/or spinal deformities, typically thoracic insufficiency syndrome (TIS) in paediatric patients (a congenital condition where severe deformities of the chest, spine, and ribs prevent normal breathing and lung growth and development). The assembly typically consists of telescoping rods/bars, fixation hooks, and locking screws/clamps made of surgical stainless steel or titanium (Ti), and are typically vertically attached to the ribs, spine, and/or pelvis to help straighten the spine and separate ribs so that the lungs can grow and fill with sufficient air for breathing."
47515,Cerebrospinal fluid shunt connector,"A sterile implantable device intended to connect components of a cerebrospinal fluid (CSF) shunt assembly (e.g., ventriculoperitoneal shunt, lumboperitoneal shunt), designed to remove excess cerebrospinal fluid from around the central nervous system especially in the treatment of hydrocephalus. It is typically made of plastic or metal and is Y-shaped or straight. This is a single-patient device."
47531, Single-enzyme device detergent,"A substance containing one enzymatic ingredient (e.g., protease) as its active agent to remove organic matter (e.g., blood, mucus, faeces) from reusable medical/surgical instruments (e.g., specula, forceps, endoscopes) or general laboratory equipment during cleaning of the devices prior to sterilization. The substance may be used for manual cleaning, in an ultrasonic water bath, or in an automated instrument washer/reprocessor. After application, this device cannot be reused. See also: Ultrasonic water bath detergent; Surgical instrument maintenance lubricant; Instrument cleaning agent; Multiple-enzyme device detergent; Dental instrument cleaning agent; Instrument rinsing agent; Instrument anti-oxidation agent"
47546,"Ultrasonic surgical system adaptor, reusable","A small connecting device designed to fit between the component devices of an ultrasonic surgical system (i.e., the handpiece tip, handpiece, and generator) to enable them to join each other. It may include controls (e.g., buttons) that allow the operator to activate different power level settings for the system during surgery. This is a reusable device."
47547,"Ultrasonic surgical system adaptor, single-use  ","A small, sterile, connecting device designed to fit between the component devices of an ultrasonic surgical system (i.e., the handpiece tip, handpiece, and generator) to enable them to join each other. It may include controls (e.g., buttons) that allow the operator to activate different power level settings for the system during surgery. This is a single-use device"
